time,poa_global
2020-01-15-23:09:00,0.0
2020-01-16-00:09:00,0.0
2020-01-16-01:09:00,0.0
2020-01-16-02:09:00,0.0
2020-01-16-03:09:00,0.0
2020-01-16-04:09:00,0.0
2020-01-16-05:09:00,0.0
2020-01-16-06:09:00,160.52
2020-01-16-07:09:00,405.84000000000003
2020-01-16-08:09:00,589.11
2020-01-16-09:09:00,779.58
2020-01-16-10:09:00,612.8199999999999
2020-01-16-11:09:00,801.11
2020-01-16-12:09:00,838.85
2020-01-16-13:09:00,447.74
2020-01-16-14:09:00,261.01
2020-01-16-15:09:00,9.46
2020-01-16-16:09:00,0.0
2020-01-16-17:09:00,0.0
2020-01-16-18:09:00,0.0
2020-01-16-19:09:00,0.0
2020-01-16-20:09:00,0.0
2020-01-16-21:09:00,0.0
2020-01-16-22:09:00,0.0
2020-01-16-23:09:00,0.0
2020-01-17-00:09:00,0.0
2020-01-17-01:09:00,0.0
2020-01-17-02:09:00,0.0
2020-01-17-03:09:00,0.0
2020-01-17-04:09:00,0.0
2020-01-17-05:09:00,0.0
2020-01-17-06:09:00,43.75
2020-01-17-07:09:00,134.25
2020-01-17-08:09:00,174.10999999999999
2020-01-17-09:09:00,182.08
2020-01-17-10:09:00,253.17000000000002
2020-01-17-11:09:00,358.43000000000006
2020-01-17-12:09:00,621.94
2020-01-17-13:09:00,166.96
2020-01-17-14:09:00,176.82
2020-01-17-15:09:00,1.9000000000000001
2020-01-17-16:09:00,0.0
2020-01-17-17:09:00,0.0
2020-01-17-18:09:00,0.0
2020-01-17-19:09:00,0.0
2020-01-17-20:09:00,0.0
2020-01-17-21:09:00,0.0
2020-01-17-22:09:00,0.0
2020-01-17-23:09:00,0.0
2020-01-18-00:09:00,0.0
2020-01-18-01:09:00,0.0
2020-01-18-02:09:00,0.0
2020-01-18-03:09:00,0.0
2020-01-18-04:09:00,0.0
2020-01-18-05:09:00,0.0
2020-01-18-06:09:00,48.870000000000005
2020-01-18-07:09:00,173.91
2020-01-18-08:09:00,247.21999999999997
2020-01-18-09:09:00,171.48
2020-01-18-10:09:00,202.69000000000003
2020-01-18-11:09:00,88.92
2020-01-18-12:09:00,63.379999999999995
2020-01-18-13:09:00,63.379999999999995
2020-01-18-14:09:00,59.59
2020-01-18-15:09:00,2.84
2020-01-18-16:09:00,0.0
2020-01-18-17:09:00,0.0
2020-01-18-18:09:00,0.0
2020-01-18-19:09:00,0.0
2020-01-18-20:09:00,0.0
2020-01-18-21:09:00,0.0
2020-01-18-22:09:00,0.0
2020-01-18-23:09:00,0.0
2020-01-19-00:09:00,0.0
